train_start,train_end,val_start,val_end,test_start,test_end,val_r2,test_r2,val_mse,test_mse,best_alpha,n_features,train_size,test_size
2000-01-01,2007-12-31,2008-01-01,2009-12-31,2010-01-01,2010-12-31,0.03765342302683006,0.03375756192559587,0.021653639021439196,0.006455453635753194,100.0,6,9113,1200
2000-01-01,2008-12-31,2009-01-01,2010-12-31,2011-01-01,2011-12-31,-0.046748291538890374,0.004822282477806694,0.018149097761625228,0.0053858127688532495,100.0,3,10313,1199
2000-01-01,2009-12-31,2010-01-01,2011-12-31,2012-01-01,2012-12-31,0.004563377608540309,-0.043459103008388844,0.006078281321858185,0.003897771678125499,100.0,2,11512,1200
2000-01-01,2011-12-31,2012-01-01,2013-12-31,2014-01-01,2014-12-31,-0.10294055604779073,-0.03617333051547433,0.0036783809790239077,0.0024120199512904683,100.0,2,13911,1199
2000-01-01,2012-12-31,2013-01-01,2014-12-31,2015-01-01,2015-12-31,-0.09446927910974323,-0.013592182619076798,0.0028953152851520884,0.003931691962860096,100.0,4,15111,1200
2000-01-01,2013-12-31,2014-01-01,2015-12-31,2016-01-01,2016-12-31,-0.03054659596329934,0.01875817364357868,0.0032423918853695024,0.00458484221428559,100.0,4,16310,1200
2000-01-01,2014-12-31,2015-01-01,2016-12-31,2017-01-01,2017-12-31,-0.010567371958041694,0.0006496801348006009,0.004381902231759237,0.0026474174307264385,100.0,3,17509,1200
2000-01-01,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,0.005304315978269303,-0.02793554358204675,0.0036414216771425956,0.005025564714068503,48.32930238571752,1,18709,1193
2000-01-01,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,0.011585476272299888,0.007955919480721163,0.0038368976889202704,0.004996610116530819,100.0,5,19909,1187
2000-01-01,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,0.023319714202877706,0.10196993285985001,0.005015240320276573,0.013734346335942638,100.0,5,21109,1176
2000-01-01,2018-12-31,2019-01-01,2020-12-31,2021-01-01,2021-12-31,0.039837215846350915,-0.08744194455845289,0.009761416675465042,0.006336074557143281,100.0,7,22302,1176
2000-01-01,2019-12-31,2020-01-01,2021-12-31,2022-01-01,2022-12-31,-0.03182781747772401,0.01168993806712082,0.010943845228603777,0.009118312730239967,100.0,6,23489,1176
2000-01-01,2020-12-31,2021-01-01,2022-12-31,2023-01-01,2023-12-31,-0.008344968706350375,0.016320004836799074,0.007732383817446165,0.006159045939733664,100.0,7,24665,1165
