permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date
86725,LIFE,LIFE TECHNOLOGIE,LONG,3,0.03276919933333333,0.098307598,1.0,23.442433332270866,0.87,2010-02-01,2010-04-01
68340,VRX,VALEANT PHARMA,LONG,3,0.10447399433333333,0.313421983,1.0,24.22644038385418,0.65,2010-02-01,2010-04-01
53613,MU,MICRON TECH,LONG,4,0.1065043408,0.4260173632,1.0,20.76980049360901,-0.25749999999999995,2010-12-01,2023-03-01
66800,AIG,AMERN INTL GROUP,SHORT,4,0.10258951300000001,0.41035805200000003,1.0,-16.613092143788762,-7.449999999999999,2011-01-01,2011-04-01
36468,SHW,SHERWIN-WMS,LONG,6,0.06619532093333332,0.3971719255999999,1.0,13.071954663818225,0.41111666666666674,2012-01-01,2014-12-01
89611,ACTG,ACACIA RESEARCH,SHORT,3,0.07003682,0.21011046,1.0,-28.525279969168654,0.7799999999999999,2012-02-01,2012-05-01
56223,LPX,LA PACIFIC CORP,LONG,3,0.13798464609999997,0.41395393829999994,1.0,17.651973260849985,2.9966666666666666,2022-05-01,2022-11-01
45277,IGT,INTL GAME TECH,LONG,5,0.05294038094,0.2647019047,1.0,18.892059964811477,0.34800000000000003,2013-02-01,2013-07-01
84172,NUS,NU SKIN ENTERPR,LONG,5,0.15869109334,0.7934554667,1.0,19.677474161925808,1.092,2013-03-01,2013-07-01
10258,CLDX,CELLDEX THERAPEU,SHORT,3,0.20631433033333332,0.6189429909999999,1.0,-37.66881711846241,-4.75,2013-10-01,2015-06-01
23819,HAL,HALLIBURTON,LONG,4,0.0926659061,0.3706636244,1.0,13.126539343915724,0.775,2014-02-01,2014-06-01
14406,PAH,PLATFORM SPECIAL,SHORT,3,0.047143952999999995,0.141431859,1.0,-18.95176198391375,0.25,2015-05-01,2015-07-01
22103,EMR,EMERSON ELECTRIC,LONG,4,0.085767871875,0.3430714875,1.0,14.98437425253536,1.025,2015-10-01,2023-11-01
93312,SSNC,SS&C TECHNOLOGIE,SHORT,3,0.05759069766666666,0.172772093,1.0,-16.531789891056963,0.3633333333333333,2015-11-01,2016-02-01
21020,AAL,AMERICAN AIRLINE,LONG,3,0.010481664666666666,0.031444994,1.0,12.766193470052206,1.6366666666666667,2015-12-01,2016-12-01
