permno,predicted_eps,eps_actual,stock_exret,stock_ticker,comp_name,position_type,year,month,date
17778,181.128981767303,1308.0,0.1552419364,BRK.A,BERKSHIRE HATHAW,LONG,2010,1,2010-01-01
82775,143.1783236222903,1.51,0.0313843302,HIG,HARTFORD FIN SVC,LONG,2010,1,2010-01-01
66800,129.6017727712042,-53.23,-0.19179453,AIG,AMERN INTL GROUP,LONG,2010,1,2010-01-01
34746,81.74169845070277,-0.2,0.2758973837,FITB,5TH 3RD BCP OH,LONG,2010,1,2010-01-01
87137,72.55126253267589,1.33,-0.089659818,DVN,DEVON ENERGY COR,LONG,2010,1,2010-01-01
14541,70.27776360088295,1.53,-0.063254908,CVX,CHEVRON,LONG,2010,1,2010-01-01
14008,66.71126975441443,1.05,0.0337634757,AMGN,AMGEN,LONG,2010,1,2010-01-01
77605,65.81692386243262,0.13,-0.041111097,BSX,BOSTON SCIENTIFI,LONG,2010,1,2010-01-01
22779,62.8311308811877,0.63,-0.207474232,MOT,MOTOROLA INC,LONG,2010,1,2010-01-01
18163,52.25990935503884,1.49,0.0224311091,PG,PROCT & GAMBL,LONG,2010,1,2010-01-01
76226,50.21441511202433,0.25,-0.079715297,CBS,CBS CORP,LONG,2010,1,2010-01-01
89258,46.00455206992214,1.07,0.0046222541,PRU,PRUDENTIAL FIN,LONG,2010,1,2010-01-01
34833,42.168534733024174,1.3,-0.037000641,OXY,OCCIDENTAL PETE,LONG,2010,1,2010-01-01
24643,39.3740365460378,0.3,-0.210297838,AA,ALCOA INC.,LONG,2010,1,2010-01-01
22111,39.20073478099446,1.02,-0.024064632,JNJ,JOHNSON & JOHNSN,LONG,2010,1,2010-01-01
89179,38.38961597225314,1.16,0.0931549221,WLP,WELLPOINT,LONG,2010,1,2010-01-01
90386,34.235209839847826,0.5,-0.104135297,MOS,MOSAIC CO/THE,LONG,2010,1,2010-01-01
90505,33.24557130024317,0.03,0.0374832973,LVS,LAS VEGAS SANDS,LONG,2010,1,2010-01-01
12052,25.952870478882588,1.58,-0.013789053,GD,GEN DYNAMICS,LONG,2010,1,2010-01-01
77606,25.24226151851944,1.4,-0.066011518,KSS,KOHLS CORP,LONG,2010,1,2010-01-01
60628,25.105550788530135,0.76,-0.061114423,FDX,FEDEX CORP,LONG,2010,1,2010-01-01
55976,24.654023646103163,1.17,-0.00037419,WMT,WAL-MART STRS,LONG,2010,1,2010-01-01
17005,22.03924986678044,0.79,0.0076839444,CVS,CVS CAREMARK COR,LONG,2010,1,2010-01-01
68144,19.939875809156128,-0.64,0.1991128027,STI,SUNTRUST BKS GA,LONG,2010,1,2010-01-01
82800,15.280972988802098,0.4254,-0.19082348,PCU,SOUTHERN COPPER,LONG,2010,1,2010-01-01
12490,14.007635294257494,3.59,-0.065011419,IBM,INTL BUS MACH,LONG,2010,1,2010-01-01
87842,10.064761295302908,0.96,-0.000848622,MET,METLIFE INC,LONG,2010,1,2010-01-01
59459,9.973685459770827,2.12,0.0162454378,TRV,TRAVELERS COS IN,LONG,2010,1,2010-01-01
79323,9.487578903514263,1.09,-0.003661805,ALL,ALLSTATE CP,LONG,2010,1,2010-01-01
48725,8.024049602697698,0.54,-0.053208161,UNP,UNION PACIFIC CP,LONG,2010,1,2010-01-01
20482,7.864350323169848,1.18,-0.012039322,ABT,ABBOTT LABS,LONG,2010,1,2010-01-01
86356,7.419614268184834,0.44,-0.021674467,EBAY,EBAY INC,LONG,2010,1,2010-01-01
87055,1.411399422133332,0.7,-0.029406758,COST,COSTCO WHOLESALE,LONG,2010,1,2010-01-01
22592,-0.2932971931054702,1.3,-0.026369909,MMM,3M CO,LONG,2010,1,2010-01-01
18729,-2.4475769644336403,0.605,-0.020450428,CL,COLGATE PALMOLVE,LONG,2010,1,2010-01-01
14702,-4.1644017292956335,0.13,-0.126255333,AMAT,APPLD MATERIALS,LONG,2010,1,2010-01-01
27887,-5.073958585654303,1.03,-0.018575326,BAX,BAXTER INTL,LONG,2010,1,2010-01-01
92655,-11.310469239525272,0.81,0.0826771781,UNH,UNITEDHEALTH GRP,LONG,2010,1,2010-01-01
25785,-11.950380964962116,0.43,0.0840000138,F,FORD MOTOR CO,LONG,2010,1,2010-01-01
56573,-13.173076949873844,0.61,-0.091685794,ITW,ILL TOOL WORKS,LONG,2010,1,2010-01-01
