permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date,eps_prediction_error,eps_direction_correct
89954,DTV,DIRECTV,LONG,62,0.016609956127419355,1.0298172799,0.6774193548387096,24.384880999932445,1.0520967741935485,2010-01-01,2015-04-01,23.332784225738898,True
12490,IBM,INTL BUS MACH,LONG,138,0.002106262411594203,0.2906642128,0.5144927536231884,18.039774559840527,3.373913043478261,2010-01-01,2022-04-01,14.665861516362266,True
91556,ROST,ROSS STORES INC,LONG,62,0.027596590488709674,1.7109886102999998,0.6129032258064516,21.57590718350078,0.42947580645161293,2010-01-01,2015-08-01,21.14643137704917,True
81696,DISH,DISH NETWORK COR,LONG,30,0.024085271823333334,0.7225581547000001,0.6666666666666666,22.517679439601785,0.5823366666666667,2010-01-01,2012-12-01,21.93534277293512,True
76605,AZO,AUTOZONE INC,LONG,87,0.020525028236781605,1.7856774565999995,0.6781609195402298,20.966698090625645,7.85689655172414,2010-01-01,2019-12-01,13.109801538901504,True
46578,CLX,CLOROX CO,LONG,26,0.013882198719230769,0.3609371667,0.6538461538461539,21.95217654997689,1.04,2010-01-01,2013-01-01,20.91217654997689,True
88590,DNB,DUN&BRADSTRT,LONG,55,0.012123452516363637,0.6667898884000001,0.5818181818181818,21.764222374046636,1.6987272727272724,2010-01-01,2015-02-01,20.065495101319364,True
40539,TJX,TJX COS INC,LONG,70,0.02118009088428572,1.4826063619000003,0.6571428571428571,21.47876193329442,0.3472499999999999,2010-01-01,2020-02-01,21.131511933294423,True
12062,LH,LABORATORY CORP,LONG,59,0.007893558508474577,0.46571995200000005,0.6101694915254238,19.57075549834036,2.1054237288135593,2010-01-01,2022-10-01,17.465331769526802,True
21776,EXC,EXELON CORP,LONG,30,0.0036775826766666663,0.11032748029999999,0.4666666666666667,17.95510338981044,0.8770000000000001,2010-01-01,2020-12-01,17.07810338981044,True
76841,BIIB,BIOGEN IDEC INCO,LONG,44,0.009632113738636362,0.4238130044999999,0.5681818181818182,16.86839501748076,5.325,2010-01-01,2021-01-01,11.543395017480762,True
86228,RSG,REPUBLIC SERVICE,LONG,36,0.021783852144444442,0.7842186771999999,0.6944444444444444,14.183378625100296,0.5961111111111111,2010-01-01,2019-04-01,13.587267513989184,True
81138,APOL,APOLLO GROUP,LONG,32,-0.026880140665624996,-0.8601645012999999,0.40625,20.03281152768696,1.1415625,2010-01-01,2013-02-01,18.89124902768696,True
85348,YUM,YUM! BRANDS INC,LONG,67,0.01812530014179104,1.2143951094999998,0.582089552238806,18.09864579192853,0.7541791044776118,2010-01-01,2019-08-01,17.344466687450918,True
10299,LLTC,LINEAR TECH,LONG,7,0.012268491442857141,0.08587944009999998,0.5714285714285714,24.706075484145963,0.5342857142857143,2010-01-01,2010-07-01,24.171789769860247,True
10299,LLTC,LINEAR TECH,SHORT,1,0.024037306,0.024037306,1.0,-15.578605740180404,0.53,2016-08-01,2016-08-01,16.108605740180405,False
92257,VMW,VMWARE INC,LONG,18,-0.005271342949999999,-0.09488417309999998,0.5555555555555556,15.006391489280796,1.0061111111111112,2010-01-01,2020-11-01,14.000280378169684,True
50876,LLY,ELI LILLY,LONG,88,0.02185729599886364,1.9234420479000003,0.6136363636363636,18.339443476111676,1.4864772727272728,2010-01-01,2023-12-01,16.8529662033844,True
65875,VZ,VERIZON COMM,LONG,123,0.005353160973170731,0.6584387996999999,0.5447154471544715,19.07640861113063,1.0497560975609759,2010-01-01,2023-12-01,18.026652513569655,True
88873,GPN,GLOBAL PAYMENTS,LONG,6,-0.05929922139999999,-0.35579532839999994,0.16666666666666666,24.975450372798008,0.29,2010-01-01,2010-06-01,24.68545037279801,True
90829,CF,CF INDUSTRIES,LONG,25,6.466456399999986e-05,0.0016166140999999967,0.56,19.369715482288072,1.0871199999999999,2010-01-01,2014-07-01,18.282595482288073,True
89217,AAP,ADVANCE AUTO,LONG,46,0.024204955886956526,1.1134279708,0.6521739130434783,22.08313739354133,1.2504347826086957,2010-01-01,2014-04-01,20.832702610932635,True
89813,MHS,MEDCO HEALTH SOL,LONG,14,0.010923253164285714,0.1529255443,0.5714285714285714,18.90380079392835,0.9400000000000001,2010-01-01,2012-02-01,17.96380079392835,True
89244,WTW,WEIGHT WATCHERS,LONG,16,0.0603868432875,0.9661894926,0.8125,24.238293780896555,0.711875,2010-01-01,2013-04-01,23.526418780896556,True
79411,PETM,PETSMART INC,LONG,29,0.014259082379310346,0.41351338900000006,0.5172413793103449,19.40596913532568,0.8982758620689654,2010-01-01,2015-02-01,18.507693273256717,True
66093,T,AT&T INC,LONG,99,-0.0009576292414141412,-0.09480529489999998,0.43434343434343436,18.770873469262487,0.7345454545454544,2010-01-01,2023-04-01,18.036328014717032,True
84584,RAH,RALCORP HOLDINGS,LONG,1,0.0350025147,0.0350025147,1.0,25.26903230298716,1.2,2010-01-01,2010-01-01,24.06903230298716,True
66384,WDC,WESTN DIGITAL,LONG,17,0.005912035423529409,0.10050460219999995,0.47058823529411764,24.821861659239907,1.5594117647058825,2010-01-01,2014-05-01,23.262449894534026,True
25320,CPB,CAMPBELL SOUP,LONG,36,0.011017625533333332,0.3966345191999999,0.6388888888888888,19.542197790440557,0.6277777777777778,2010-01-01,2013-05-01,18.91442001266278,True
18729,CL,COLGATE PALMOLVE,LONG,70,0.010415878487142859,0.7291114941000001,0.5857142857142857,19.949790022419236,0.6822142857142858,2010-01-01,2022-07-01,19.267575736704952,True
27043,VAR,VARIAN MED SYS,LONG,45,0.011567637295555554,0.5205436782999999,0.6,18.378599792498445,0.912888888888889,2010-01-01,2015-01-01,17.465710903609555,True
21178,LMT,LOCKHEED MARTIN,LONG,124,0.012372713737903223,1.5342165034999997,0.6290322580645161,19.19112834727285,3.97241935483871,2010-01-01,2023-12-01,15.218708992434141,True
22111,JNJ,JOHNSON & JOHNSN,LONG,77,0.0035419386012986998,0.2727292722999999,0.5454545454545454,18.098699766202884,2.115454545454545,2010-01-01,2023-12-01,15.983245220748339,True
55976,WMT,WAL-MART STRS,LONG,151,0.010549903412026492,1.5930354152160002,0.5629139072847682,18.767398643267068,1.2809933774834437,2010-01-01,2023-10-01,17.486405265783624,True
76477,ATK,ALLIANT TECHSYST,LONG,5,-0.030977583019999998,-0.1548879151,0.4,23.630068265757654,2.338,2010-01-01,2010-07-01,21.292068265757653,True
