permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date
15914,WKHS,WORKHORSE GROUP,SHORT,2,0.4602800375,0.920560075,1.0,-34.262808535472985,1.2200000000000002,2020-10-01,2021-02-01
17201,VVNT,VIVINT SMART,SHORT,1,0.344067298,0.344067298,1.0,-23.15124711888988,-0.78,2020-03-01,2020-03-01
13704,NEO,NEOGENOMICS,SHORT,1,0.339390337,0.339390337,1.0,-22.2844294323598,-0.14,2022-01-01,2022-01-01
14262,SRNE,SORRENTO THERA,SHORT,2,0.30692768,0.61385536,1.0,-33.81169384848407,-0.30000000000000004,2020-10-01,2021-02-01
13962,NSTG,NANOSTRING TECH,SHORT,1,0.303501904,0.303501904,1.0,-25.30614039850306,-0.6,2021-05-01,2021-05-01
80080,EMN,EASTMAN CHEMICAL,LONG,1,0.2882744074,0.2882744074,1.0,12.148775215827044,0.71,2012-01-01,2012-01-01
90720,BLDR,BUILDERS FRSTSRC,LONG,1,0.2654942111,0.2654942111,1.0,16.336620691982972,6.26,2022-07-01,2022-07-01
18184,FSR,FISKER,SHORT,1,0.264709635,0.264709635,1.0,-27.30861352692688,-0.47,2021-12-01,2021-12-01
13292,DWRE,DEMANDWARE INC,SHORT,1,0.26164633,0.26164633,1.0,-18.980642590981137,0.07,2015-08-01,2015-08-01
15937,EDIT,EDITAS MEDICINE,SHORT,4,0.25626621175000003,1.0250648470000001,1.0,-30.315845947882732,-0.845,2021-01-01,2021-09-01
22424,HCP,HASHICORP,SHORT,1,0.241623751,0.241623751,1.0,-18.145766398914247,-0.1,2023-06-01,2023-06-01
18162,VLDR,VELODYNE LIDAR,SHORT,3,0.23927809933333333,0.717834298,1.0,-29.540608577928225,-0.09999999999999999,2020-10-01,2021-02-01
17788,PS,PLURALSIGHT,SHORT,2,0.23334797140000002,0.46669594280000004,0.5,-15.540375805734124,-0.07,2019-07-01,2019-08-01
14813,MARA,MARATHON DIGITAL,SHORT,5,0.23232944580000003,1.1616472290000002,1.0,-39.46629545499213,-0.20999999999999996,2021-04-01,2021-12-01
84262,STLD,STEEL DYNAMICS,LONG,1,0.2313004431,0.2313004431,1.0,19.78857078543448,4.37,2023-01-01,2023-01-01
14954,DPLO,DIPLOMAT,SHORT,1,0.230969217,0.230969217,1.0,-15.63387356086074,0.23,2016-03-01,2016-03-01
87255,TIVO,TIVO INC,SHORT,2,0.2307255567,0.4614511134,0.5,-40.00780448741187,-0.13,2010-04-01,2010-05-01
89908,CONN,CONN'S INC,SHORT,1,0.228491589,0.228491589,1.0,-12.526774619319472,0.74,2014-01-01,2014-01-01
14694,GPRO,GOPRO,SHORT,2,0.224494837,0.448989674,1.0,-15.06543376216657,0.25,2015-08-01,2015-10-01
21949,OLPX,OLAPLEX HOLDINGS,SHORT,1,0.223685237,0.223685237,1.0,-12.968945711574944,0.07,2023-02-01,2023-02-01
