year,month,date,long_portfolio,short_portfolio,long_short_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,rf,sp_ret,date_y
2010,1,2010-01-01,0.00018777562999999913,-0.05120361081599999,0.05139138644599999,50,50,100,True,0.0,-0.036974,2010-01-01
2010,2,2010-02-01,0.03145290226200001,0.028124256120000003,0.0033286461420000066,50,50,100,True,0.0,0.028514,2010-02-01
2010,3,2010-03-01,0.07865881227,0.059351224974,0.019307587296000003,50,50,100,True,0.0001,0.058796,2010-03-01
2010,4,2010-04-01,0.003990674082000002,0.018332657496,-0.014341983413999998,50,50,100,True,0.0001,0.014759,2010-04-01
2010,5,2010-05-01,-0.06890576056,-0.0884626883,0.019556927739999994,50,50,100,True,0.0001,-0.081976,2010-05-01
2010,6,2010-06-01,-0.05679531286199999,-0.051935146583999996,-0.004860166277999997,50,50,100,True,0.0001,-0.053882,2010-06-01
2010,7,2010-07-01,0.070736388888,0.08041460793800001,-0.009678219050000006,50,50,100,True,0.0001,0.068778,2010-07-01
2010,8,2010-08-01,-0.058796725878,-0.032375033713999996,-0.026421692164000005,50,50,100,True,0.0001,-0.047449,2010-08-01
2010,9,2010-09-01,0.10644142138399999,0.078894533216,0.027546888167999994,50,50,100,True,0.0001,0.087551,2010-09-01
2010,10,2010-10-01,0.028585780153999995,0.043756229558,-0.015170449404000006,50,50,100,True,0.0001,0.036856,2010-10-01
2010,11,2010-11-01,0.005994955238000001,-0.011384286882,0.01737924212,50,50,100,True,0.0001,-0.00229,2010-11-01
2010,12,2010-12-01,0.093251042822,0.066379529338,0.026871513484000006,50,50,100,True,0.0001,0.0653,2010-12-01
2011,1,2011-01-01,0.00845284443,0.034983597474,-0.026530753043999995,50,50,100,True,0.0001,0.022646,2011-01-01
2011,2,2011-02-01,0.033782982552,0.024979172984,0.008803809567999997,50,50,100,True,0.0001,0.031957,2011-02-01
