permno,predicted_return,stock_exret,stock_ticker,comp_name,position_type,year,month,date
70519,0.0473906546614624,0.0030211452,C,CITIGROUP INC.,LONG,2010,1,2010-01-01
59408,0.0460235679522644,0.0079681193,BAC,BANK OF AMERICA,LONG,2010,1,2010-01-01
66800,0.0434095516361928,-0.19179453,AIG,AMERN INTL GROUP,LONG,2010,1,2010-01-01
21371,0.035162630693981,0.0257443544,CAH,CARDINAL HEALTH,LONG,2010,1,2010-01-01
87055,0.0288698724572858,-0.029406758,COST,COSTCO WHOLESALE,LONG,2010,1,2010-01-01
89179,0.0262308885152079,0.0931549221,WLP,WELLPOINT,LONG,2010,1,2010-01-01
52038,0.0245099425822346,0.0017895217,SYY,SYSCO CP,LONG,2010,1,2010-01-01
19393,0.0238961813899826,-0.035247501,BMY,BRISTOL-MYERS SQ,LONG,2010,1,2010-01-01
47896,0.022995223117945,-0.06431485,JPM,JPMORGAN CHASE,LONG,2010,1,2010-01-01
82775,0.0228226562363891,0.0313843302,HIG,HARTFORD FIN SVC,LONG,2010,1,2010-01-01
45751,0.0223629884979899,-0.014492774,MMC,MARSH & MCLENNAN,LONG,2010,1,2010-01-01
22293,0.0221072566137765,-0.063697547,GLW,CORNING INC.,LONG,2010,1,2010-01-01
10145,0.0218807533900411,-0.014285749,HON,HONEYWELL INTL,LONG,2010,1,2010-01-01
17005,0.020858000563866,0.0076839444,CVS,CVS CAREMARK COR,LONG,2010,1,2010-01-01
71563,0.0207130435845853,0.1044540778,BBT,BB&T CP,LONG,2010,1,2010-01-01
87447,0.0204086896783501,0.006972312,UPS,UTD PARCEL SVC,LONG,2010,1,2010-01-01
86868,0.0203038211428957,-0.119166046,GS,GOLDMAN SACHS,LONG,2010,1,2010-01-01
12060,0.0199597968534113,0.0627891496,GE,GEN ELECTRIC US,LONG,2010,1,2010-01-01
57904,0.0193674714907512,0.0471351407,AFL,AFLAC INC,LONG,2010,1,2010-01-01
77606,0.0193278221324084,-0.066011518,KSS,KOHLS CORP,LONG,2010,1,2010-01-01
66157,0.0182427463133608,0.1141714677,USB,US BANCORP,LONG,2010,1,2010-01-01
49154,0.0178751669096429,0.0599545501,TGT,TARGET CORP,LONG,2010,1,2010-01-01
21936,0.017588411477187,0.0258383341,PFE,PFIZER INC,LONG,2010,1,2010-01-01
92655,0.0163253183447999,0.0826771781,UNH,UNITEDHEALTH GRP,LONG,2010,1,2010-01-01
48725,0.0161630948255065,-0.053208161,UNP,UNION PACIFIC CP,LONG,2010,1,2010-01-01
34746,0.0161618134768937,0.2758973837,FITB,5TH 3RD BCP OH,LONG,2010,1,2010-01-01
19502,0.015291724802514,-0.018246241,WAG,WALGREEN CO,LONG,2010,1,2010-01-01
68144,0.0151458371977825,0.1991128027,STI,SUNTRUST BKS GA,LONG,2010,1,2010-01-01
50876,0.0149574368956986,-0.014281667,LLY,ELI LILLY,LONG,2010,1,2010-01-01
12052,0.0148997045829964,-0.013789053,GD,GEN DYNAMICS,LONG,2010,1,2010-01-01
55976,0.014735345476514,-0.00037419,WMT,WAL-MART STRS,LONG,2010,1,2010-01-01
25785,0.0146344665505559,0.0840000138,F,FORD MOTOR CO,LONG,2010,1,2010-01-01
19561,0.014305744861654,0.1195270121,BA,BOEING CO,LONG,2010,1,2010-01-01
20482,0.0141194512683675,-0.012039322,ABT,ABBOTT LABS,LONG,2010,1,2010-01-01
